company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
AKTIVE CHILD LIMITED,16361709,active,2025-04-02,RM3 0HU,87900,ltd
DELLTA CONSTRUCTION LTD,16363921,active,2025-04-03,RM5 2QA,"41201, 41202",ltd
EVOLE CLINIC LTD,16318536,active,2025-03-15,RM7 0HH,"96020, 96040",ltd
LEON'S ARENA BAR LTD,16242669,active,2025-02-10,RM7 9QD,46342,ltd
AGL BUSINESS SERVICES LTD,16366195,active,2025-04-04,RM1 1DA,"41202, 43290",ltd
PIRA CONSTRUCT LTD,16366258,active,2025-04-04,RM4 1DL,"41201, 41202",ltd
AMHG DEVELOPMENTS LTD,16366828,active,2025-04-04,RM6 5DS,"41202, 68100",ltd
DREAMLUXE LTD,16367307,active,2025-04-05,RM6 6AX,47910,ltd
DRIVE DYNASTY LTD,16367671,active,2025-04-06,RM2 6GE,45112,ltd
LUO YUZHOUOM LTD,16364457,active,2025-04-04,RM6 6AX,"45320, 45400",ltd
CAFLA LIMITED,16364590,active,2025-04-04,RM1 1RX,56102,ltd
NORTONBURY LTD,16364699,active,2025-04-04,RM6 4DE,70229,ltd
IVY PROPERTY CARE LTD,16210457,active,2025-01-27,RM6 6AX,"43341, 68320, 81100, 81210",ltd
AJOBI INTEGRATED INTERNATIONAL GROUP LIMITED,16372675,active,2025-04-08,RM1 3DL,"06100, 07290, 19201, 46120",ltd
K-DEMS CONSULTING LIMITED,16372820,active,2025-04-08,RM6 6GN,"69201, 70221, 70229, 73120",ltd
BUILD CREATIVE LTD,16373041,active,2025-04-08,RM2 6RX,58210,ltd
MAR&BUILDING LTD,16373718,active,2025-04-08,RM6 4UH,41202,ltd
GGCCHH LIMITED,16374606,active,2025-04-08,RM3 0HY,86210,ltd
COSMOQUINS LTD,16374875,active,2025-04-08,RM7 7LN,"47750, 47990, 96020",ltd
CF STUDIOS LTD,16378169,active,2025-04-09,RM6 4BD,96020,ltd
H&T UK PROPERTY LIMITED,16375206,active,2025-04-09,RM3 8JU,"68100, 68209",ltd
QUIKTRACK LTD,16380125,active,2025-04-10,RM6 5UF,"49410, 52290",ltd
CRIMSON LOTUS HOLDINGS LTD,16376024,active,2025-04-09,RM2 6AU,64209,ltd
SHAJAI ECOMM LIMITED,16378863,active,2025-04-10,RM6 4YX,47910,ltd
FAK4 LIMITED,16377520,active,2025-04-09,RM7 0YU,"47750, 47910",ltd
CERTIFIED FOAM SOLUTIONS LTD,16377510,active,2025-04-09,RM3 0DN,23430,ltd
MOORTHY & CO. PROPERTY LTD,16402273,active,2025-04-23,RM6 4PT,64305,ltd
NEXORA DIGITAL INNOVATION & SOLUTIONS LTD,16294779,active,2025-03-05,RM6 6AX,"47910, 90030",ltd
VAULTNEST LTD,16402670,active,2025-04-23,RM7 9QJ,"68201, 68310, 68320, 98000",ltd
SWIFT LOOP LTD,16403067,active,2025-04-23,RM6 4RA,47990,ltd
PLAYHEAD MEDIA LTD,16403492,active,2025-04-23,RM1 3HS,"59112, 59200, 90020",ltd
CHAI VEDA LIMITED,16406562,active,2025-04-24,RM2 5AA,"10831, 46370",ltd
PB08 PROPERTY LTD,16406866,active,2025-04-24,RM2 5QS,"68100, 68209",ltd
ETAXFIRM LTD,16167933,active,2025-01-07,RM6 6AX,"69201, 69202, 69203",ltd
PHARMA35 LTD,16407308,active,2025-04-24,RM3 9EJ,"86220, 86900",ltd
TRENDYY LIMITED,16407566,active,2025-04-25,RM7 0NS,47910,ltd
QL FREEHOLDERS LIMITED,16407669,active,2025-04-25,RM2 5EH,98000,private-limited-guarant-nsc
DARLINGTON DELAIRE CREATIVE LTD,16407832,active,2025-04-25,RM6 5AR,90010,ltd
ITICIAN AK LTD,16408668,active,2025-04-25,RM6 6AX,47910,ltd
SUTHERNVINTAGEWHOLESALE LTD,16408664,active,2025-04-25,RM26QX,46420,ltd
CAMPBELL CARE GROUP LTD,16408672,active,2025-04-25,RM1 2SS,"87300, 87900",ltd
YOUR DAY BY LADY P LTD,16408824,active,2025-04-25,RM6 6DT,94110,ltd
S&M PROPERTY NEST LTD,16408895,active,2025-04-25,RM6 6UB,"68100, 68201, 68209, 68320",ltd
FLIPPIN SWEET LTD,16408947,active,2025-04-25,RM3 9LH,56210,private-limited-guarant-nsc
VISION HORIZON SOLUTIONS LIMITED,16409940,active,2025-04-25,RM6 4DE,70229,ltd
ARDI ROOF CLEANING AND PAINTING LTD,16410067,active,2025-04-25,RM7 0PR,43910,ltd
PALM STRATEGY LTD,16382107,active,2025-04-11,RM7 0BG,74990,ltd
THE POULTRY GROUP LTD,16283759,active,2025-02-28,RM7 0AZ,46320,ltd
PARAGON DEVELOPMENTS & INTERIORS LTD,16386703,active,2025-04-14,RM6 4AL,"41100, 47599",ltd
NATURE STYLE LTD,16387008,active,2025-04-14,RM6 6AX,47910,ltd
BABY STEPS PRESCHOOL LIMITED,16383345,active,2025-04-11,RM3 7HA,88910,ltd
JANIE KAY LTD,16386600,active,2025-04-14,RM5 2LG,56302,ltd
LITTLE GIRAFFES NURSERY LTD,16387712,active,2025-04-15,RM6 6XH,88910,ltd
ILM COLLECTIVE LTD,16390274,active,2025-04-15,RM6 4AQ,"10710, 47710, 47910, 56103",ltd
MAX-RON LIMITED,16386233,active,2025-04-14,RM3 7AD,33140,ltd
YOU CAN PRINT ANYTHING LTD,16386824,active,2025-04-14,RM6 6AX,18129,ltd
SLEEPERS CLUB LTD,16389873,active,2025-04-15,RM3 7UJ,47710,ltd
MAWNEYS ACCOUNTANTS LTD,16383046,active,2025-04-11,RM7 8AU,69202,ltd
ESSEX LIFTING LTD,16305454,active,2025-03-10,RM4 1HS,43999,ltd
SEVYN UKG LTD,16386533,active,2025-04-14,RM6 6AX,47910,ltd
FAST FINANCE ONLINE LIMITED,16392456,active,2025-04-16,RM1 3PJ,64999,ltd
BRICK LANE BAGEL COMPANY (COLLIER ROW) LIMITED,16392779,active,2025-04-16,RM5 3PL,56102,ltd
ALAIAS HOUSE LTD,16392975,active,2025-04-16,RM3 0HD,56103,ltd
LOCKFIT ILFORD LTD,16392555,active,2025-04-16,RM2 6BS,80100,ltd
FRESH BALLERZ LTD,16394281,active,2025-04-17,RM25AL,"14190, 47710, 85510, 93120",ltd
KIM SCALES MYR LIMITED,16395863,active,2025-04-18,RM6 6AX,"47910, 47990",ltd
CAMPBELL'S PRO CLEANERS LIMITED,16396073,active,2025-04-18,RM7 0RR,81210,ltd
OCEAN'S RENOVATIONS LTD,16398620,active,2025-04-22,RM6 4AL,43390,ltd
PICOTOYS LTD,16394153,active,2025-04-17,RM6 6NJ,47650,ltd
RENO ASSETS LTD,16308677,active,2025-03-11,RM6 6AX,"41202, 43390",ltd
MONIEFI LIMITED,16395902,active,2025-04-18,RM5 3AE,"64205, 70221",ltd
SAVOUR THE SLOW LTD,16397278,active,2025-04-21,RM6 6AX,47910,ltd
SAVINGS HIVE LTD,16394820,active,2025-04-17,RM6 6AX,47910,ltd
KASIBA SHISHA LOUNGE & RESTAURANT LIMITED,16404760,active,2025-04-24,RM6 4AH,56102,ltd
EQWORLDUK LIMITED,16406038,active,2025-04-24,RM6 4QX,"85320, 85590, 85600",ltd
EDUNOVA TECH LIMITED,16411944,active,2025-04-28,RM2 5QH,"62012, 62020, 62090",ltd
PIN CIRCLE LTD,16412831,active,2025-04-28,RM6 6AX,47990,ltd
BICYCLE EXPRESS LIMITED,16413603,active,2025-04-28,RM1 4GP,47640,ltd
DR ESSANG & PARTNERS LTD,16414586,active,2025-04-28,RM3 0JW,86220,ltd
THIRKETTLE SCAFFOLDING LIMITED,16414728,active,2025-04-28,RM1 4JP,43991,ltd
AGR BUILD&DESIGN LTD,16416442,active,2025-04-29,RM1 2NP,"43330, 43341, 43342",ltd
ONE STOP GENERAL STORE LTD,16207164,active,2025-01-24,RM5 3EA,47110,ltd
GTX SOLUTIONS LTD,16166528,active,2025-01-06,RM5 2HH,96090,ltd
ZENITH DOUBLE GLAZING LTD,16165890,active,2025-01-06,RM6 6HJ,"43320, 43341, 43342, 43390",ltd
HAZ&CO REAL ESTATE LTD,16167140,active,2025-01-06,RM7 8BB,"64306, 68310, 68320",ltd
VELANZA LTD,16167484,active,2025-01-07,RM7 0QA,"47910, 47990",ltd
COYLE CAPITAL LTD,16169029,active,2025-01-07,RM3 0WP,73110,ltd
ZEIOUR HOUSEHOLD SERVICES LTD,16160714,active,2025-01-02,RM6 6AX,81299,ltd
LONDON MASTER BLASTER LTD,16185978,active,2025-01-15,RM7 9QA,93199,ltd
KEV TIMES LTD,16193686,active,2025-01-20,RM7 9DG,81299,ltd
ADELINAA LTD,16191804,active,2025-01-17,RM1 2BX,96090,ltd
UCM INVESTMENTS LTD,16192869,active,2025-01-18,RM5 2SH,64304,ltd
DORAâ€™S HOMES LET LTD,16190941,active,2025-01-17,RM5 3TX,68209,ltd
ONPOINT DRAINAGE SOLUTIONS LTD,16192244,active,2025-01-17,RM7 0QH,81210,ltd
SJAYDEALS LTD,16192998,active,2025-01-18,RM6 4ST,47990,ltd
BRITPOL SERVICES LTD,16190247,active,2025-01-17,RM3 8HN,81221,ltd
S.V.E RAIL LTD,16200792,active,2025-01-22,RM3 9TD,42120,ltd
BHQ SERVICES LIMITED,16201455,active,2025-01-22,RM7 0UP,"49410, 53202, 96090",ltd
PROFESSOR STORES LIMITED,16201360,active,2025-01-22,RM6 6AX,47910,ltd
ASM PROPERTY HOLDINGS LTD,16202533,active,2025-01-22,RM2 5XH,68209,ltd
VENTA65 LTD,16202621,active,2025-01-22,RM3 9NR,49390,ltd
PR HOMES LONDON LIMITED,16203241,active,2025-01-23,RM7 9EU,"68100, 68209",ltd
PRIME CRAFT BUILD LTD,16195745,active,2025-01-20,RM5 2QH,43390,ltd
ECOMNEXT SOLUTIONS HMTD LIMITED,16197166,active,2025-01-21,RM6 6AX,"62012, 62020, 82990",ltd
MASTER UP LIMITED,16197422,active,2025-01-21,RM7 9EU,85590,ltd
758BROS TYRES LIMITED,16197458,active,2025-01-21,RM1 2JT,45310,private-limited-guarant-nsc
RM EXTERNAL WALLS LIMITED,16196345,active,2025-01-20,RM3 9RR,43330,ltd
KASHAS EVENTS LTD,16186466,active,2025-01-15,RM7 0AU,96090,ltd
CLICK AND BUY U.K LTD,16196593,active,2025-01-20,RM7 0NS,47910,ltd
CHINESE HEIST LTD,16196724,active,2025-01-21,RM1 1PS,56103,ltd
LDN SHUTTLE LIMITED,16203452,active,2025-01-23,RM1 3JT,49320,ltd
KACE CAPITAL SOLUTIONS LTD,16204322,active,2025-01-23,RM7 8EP,70229,ltd
ZOH COURIERS LTD,16287639,active,2025-03-03,RM7 0BS,53202,ltd
SHOLS LTD,16290244,active,2025-03-04,RM6 5BF,49100,ltd
444 A-D HAVERING ROAD (FREEHOLD) LTD,16289117,active,2025-03-03,RM1 4DF,98000,ltd
UPLINKED SECURITY LIMITED,16289856,active,2025-03-04,RM1 3JT,70229,ltd
PRIME PROPERTY INVEST LTD,16290986,active,2025-03-04,RM6 5PR,"68100, 68209",ltd
NANDE LOUNGE LIMITED,16288317,active,2025-03-03,RM1 2JT,46170,private-limited-guarant-nsc
RS GENTS BARBERS LTD,16288561,active,2025-03-03,RM7 0BX,96020,ltd
BLACKROSE PROPERTY SERVICE LIMITED,16289417,active,2025-03-04,RM1 1EZ,98000,ltd
SB LONDON LIMITED,16289605,active,2025-03-04,RM6 4JF,"62020, 70229",ltd
CASA DE FLORES LIMITED,16260677,active,2025-02-18,RM1 2RA,"82990, 90030",ltd
N5 FACILITIES LTD,16298072,active,2025-03-06,RM6 5SA,"80100, 81299",ltd
M ENTERPRISES LIMITED,16299230,active,2025-03-06,RM7 9JR,43991,ltd
SIBA ESTATES LIMITED,16299920,active,2025-03-07,RM7 8NT,64306,ltd
TRANSPORT ENG LTD,16295779,active,2025-03-05,RM3 0SA,52290,ltd
AA PLUS HOLDING LTD,16297443,active,2025-03-06,RM1 3NG,"64209, 68100, 68320",ltd
ALEYNA STORY LTD,16277954,active,2025-02-26,RM6 6AX,47910,ltd
MEDICSPRO NURSING LTD,16293638,active,2025-03-05,RM1 1ES,78200,ltd
BUILDD 103 LIMITED,16293720,active,2025-03-05,RM7 7DN,41100,ltd
ASIAN EVENTS LIMITED,16294913,active,2025-03-05,RM7 8LX,56210,ltd
THE DELIGHTFUL DOG COMPANY LIMITED,16167236,active,2025-01-07,RM4 1HS,85590,ltd
51 HIGH STREET SOUTH LTD,16295293,active,2025-03-05,RM4 1JP,68100,ltd
MJ MORTGAGES & PROTECTION LTD,16292769,active,2025-03-04,RM2 6NU,70229,ltd
WATERMARKS ESSEX LTD,16300116,active,2025-03-07,RM6 4DP,47520,ltd
STELLARSCAPE DEVELOPMENTS LIMITED,16224967,active,2025-02-03,RM7 7LH,"41100, 68209, 68310",ltd
AFORDA PROPERTY LIMITED,16302399,active,2025-03-08,RM7 7JU,"68209, 68320",ltd
FOCUSSED OUTCOME LTD,16420040,active,2025-04-30,RM2 6RH,"70229, 85590, 96090",ltd
FAARIM LTD,16422377,active,2025-04-30,RM5 3XX,46900,ltd
GADAMUS LTD,16419763,active,2025-04-30,RM6 5PL,"41100, 41201",ltd
BUBBLY BUNDLES LTD,16422244,active,2025-04-30,RM7 0XQ,47710,ltd
OFFICIAL PAMPER PALACE LIMITED,16423206,active,2025-05-01,RM3 8QE,86900,ltd
AHMED ASSOCIATES LTD,16421039,active,2025-04-30,RM6 6AX,82990,ltd
TECH GURUZ LTD,16421874,active,2025-04-30,RM5 3ES,"46510, 46520, 61900",ltd
ROMAN HOMES DEVELOPMENT LTD,16433673,active,2025-05-07,RM6 4PZ,"68100, 68201, 68209, 68320",ltd
SHUBH DOUBLE GLAZING LIMITED,16435001,active,2025-05-07,RM1 4DR,43390,ltd
SSY BYONEX LTD,16425132,active,2025-05-01,RM7 0NH,61200,ltd
LONDON GENERAL GROUP 365 LIMITED,16430363,active,2025-05-06,RM3 7HD,96090,ltd
ESSEX CONSTRUCTION TRAINING & ASSESSMENT LTD,16428036,active,2025-05-03,RM7 0PT,43999,ltd
AMMAR ECOM LTD,16428278,active,2025-05-03,RM6 6BD,47910,ltd
THE ARC PRODUCTIONS UN LIMITED,16397726,active,2025-04-22,RM7 7HX,59111,ltd
RELIANCEMOVE LTD,16429125,active,2025-05-05,RM6 5HB,49420,ltd
THE RODINGS LTD,16309608,active,2025-03-12,RM4 1UA,"55100, 55900",ltd
CORRINGHAM PARK 2 LIMITED,16425628,active,2025-05-02,RM7 7DN,68100,ltd
AHIZPA LTD,16425073,active,2025-05-01,RM3 7AJ,68209,ltd
PRIME SCAPE SOLUTIONS LTD,16426743,active,2025-05-02,RM4 1LD,81300,ltd
AB CARPENTRY SERVICES LTD,16427642,active,2025-05-02,RM7 0HA,"43290, 43999",ltd
SERENE PATHWAYS LTD,16431345,active,2025-05-06,RM6 5UB,"87200, 87300",ltd
DMB ROOFING LIMITED,16440115,active,2025-05-09,RM1 1DA,43910,ltd
STALLION MOTOR GROUP LIMITED,16441556,active,2025-05-09,RM6 6AX,45112,ltd
THE TWO TRAVELLERS LTD,16277123,active,2025-02-26,RM6 5PP,56101,ltd
ETERNAL LIFE PROPERTIES LTD,16436077,active,2025-05-07,RM7 0LJ,68209,ltd
ARUNAN PROPERTY INVESTMENTS LIMITED,16436342,active,2025-05-08,RM7 0QH,68310,ltd
GREYHOUND RACING UK CIC,16363427,active,2025-04-03,RM2 5SH,96090,private-limited-guarant-nsc
SURKHABDEEP SINGH LTD,16440542,active,2025-05-09,RM6 4DS,41202,ltd
HUMBLE LOGISTICS TRANSPORT SERVICE LTD,16441140,active,2025-05-09,RM6 6XJ,49410,ltd
MUGO ESTATES LTD,16437076,active,2025-05-08,RM7 9HL,68209,ltd
AHMED TAXI SERVICES UK LIMITED,16438679,active,2025-05-08,RM5 3PL,"49320, 49390",ltd
SUIT RANGE LIMITED,16294104,active,2025-03-05,RM1 2LX,"56102, 56103",ltd
ETNA ACCOUNTING LTD,16442390,active,2025-05-11,RM3 8LT,69201,ltd
PUREPATH VENTURES LIMITED,16447864,active,2025-05-13,RM1 4DW,"46320, 47220",ltd
CLASSIQUE DEALS LIMITED,16272871,active,2025-02-24,RM6 6LL,47190,ltd
LEGON WORKFORCE SOLUTIONS LTD,16443669,active,2025-05-12,RM7 0UL,82990,ltd
SCULPT VITAE AESTHETICS LTD,16445830,active,2025-05-12,RM6 6AX,96020,ltd
KASHMIR HEIGHTS LIMITED,16446108,active,2025-05-13,RM6 6DU,68209,ltd
TRIPPLEMSS LTD,16442946,active,2025-05-12,RM3 7EQ,"68100, 68209",ltd
GRAFT MAFIA LTD,16443551,active,2025-05-12,RM6 6AX,86900,ltd
FEEL GOOD INK LIMITED,16447506,active,2025-05-13,RM5 3PL,90030,ltd
MASTERPIECE MAKERS LTD,16449566,active,2025-05-14,RM6 4AB,43999,ltd
TRAE ARMANI ESTATES LTD,16203011,active,2025-01-23,RM6 6AX,68320,ltd
ELITE BIFOLDING DOORS LTD,16458074,active,2025-05-19,RM7 9QD,"25120, 43290, 43342",ltd
RUGGS ROOFING LIMITED,16449931,active,2025-05-14,RM1 3JT,43910,ltd
INFALLIBLETECH LTD,16460318,active,2025-05-19,RM1 2DY,62090,ltd
SE HAULAGE LIMITED,16450331,active,2025-05-14,RM3 7LD,49410,ltd
CH1LL LTD,16451926,active,2025-05-14,RM3 0LW,26400,ltd
PROJECT501 LIMITED,16454870,active,2025-05-17,RM5 3BP,47640,ltd
BYKERS CASH AND CARRY LTD,16454864,active,2025-05-17,RM7 0NH,47110,ltd
QUARANTINE CLEAN GRILLS LTD,16459882,active,2025-05-19,RM3 8QP,32120,ltd
BLACK WEBSTER LIMITED,16462166,active,2025-05-20,RM5 3JB,47910,ltd
LEORA DEVELOPMENTS LTD,16462741,active,2025-05-20,RM3 0HH,41100,ltd
CHIMNA NULU MUOGU LTD,16460740,active,2025-05-20,RM1 2FA,"86101, 86210",ltd
SARULS ECOM LTD,16449706,active,2025-05-14,RM6 6AX,47990,ltd
AMSTION LIMITED,16454510,active,2025-05-17,RM2 5EU,62012,ltd
HTO LTD,16457443,active,2025-05-19,RM3 9HL,82990,ltd
EDGE INVESTMENT VENTURES LTD,16452085,active,2025-05-15,RM7 0GW,68209,ltd
CALIBRE LDN LIMITED,16457945,active,2025-05-19,RM3 0NS,47710,ltd
HAMI HOMES LTD,16455401,active,2025-05-18,RM1 4SR,47910,ltd
LM KAY BUILDING SERVICES LIMITED,16457611,active,2025-05-19,RM6 6JL,"41100, 43290, 81210, 82990",ltd
E COLLIER PROPERTIES LIMITED,16467764,active,2025-05-22,RM3 0BP,68209,ltd
IRON FORM LTD,16470994,active,2025-05-23,RM3 7JT,47710,ltd
THE DAILY VEG & FRUIT LTD,16464693,active,2025-05-21,RM1 1DA,46390,ltd
EZY ERP LIMITED,16470074,active,2025-05-23,RM7 0RR,62012,ltd
MAHAMAD JM LTD,16470543,active,2025-05-23,RM6 6AX,47910,ltd
CPM RENEWABLES LIMITED,16469919,active,2025-05-22,RM7 8HX,"35110, 43210",ltd
GRAY COAT PRODUCTIONS LTD,16422443,active,2025-04-30,RM7 0FG,59112,ltd
SADIAMUBEEN LIMITED,16428282,active,2025-05-03,RM5 3UH,68100,ltd
SEG ELECTRICAL SERVICES LIMITED,16463366,active,2025-05-20,RM1 3JT,43210,ltd
AVIMI PROPERTIES LTD,16463900,active,2025-05-20,RM1 2NQ,"68100, 68209",ltd
DAWN LINE CAPITAL LTD,16203124,active,2025-01-23,RM7 7AU,64209,ltd
VIRK MOTORS LIMITED,16472257,active,2025-05-23,RM7 0YL,45112,ltd
HAT CONSTRUCTION SOLUTIONS LIMITED,16474973,active,2025-05-27,RM6 6JL,85410,ltd
BIZARSELLER. LTD,16476584,active,2025-05-27,RM6 4NP,46190,ltd
BASEERA SOLUTIONS LTD,16478073,active,2025-05-27,RM6 5RH,"62020, 70229",ltd
FRONETY LIMITED,16475624,active,2025-05-27,RM3 7NX,"46491, 47910",ltd
ON TIME LTD,16476324,active,2025-05-27,RM6 5AP,"53100, 82990",ltd
STELLARCO LIMITED,16478192,active,2025-05-28,RM3 0BP,64304,ltd
DORESI LTD,16478454,active,2025-05-28,RM6 4RD,98000,ltd
BROCKLEY HOUSE LIMITED,16480533,active,2025-05-28,RM3 8EN,41100,ltd
VITAKURA MEDICAL LTD,16474107,active,2025-05-27,RM3 0JU,71200,ltd
FIRST LINE DEFENSE SERVICES LTD,16474819,active,2025-05-27,RM5 3DT,80100,ltd
FORSTER PRODUCTIONS LTD,16473303,active,2025-05-25,RM4 1AD,90010,ltd
SHESAM LTD,16415701,active,2025-04-29,RM5 3PP,"46420, 47190, 47820, 47910",ltd
RAWA KRD LTD,16474252,active,2025-05-27,RM6 6AX,47910,ltd
AVANTED LTD,16475825,active,2025-05-27,RM6 6YB,74100,ltd
OPALWAY BUSINESS MANAGEMENT LIMITED,16481288,active,2025-05-29,RM6 5EL,"69202, 70229, 82110, 82990",ltd
